ID,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,TYPE
_157,1.51655,13.41,3.39,1.28,72.64,0.52,8.65,0.00,0.00,VEHICLE_FLOAT
_159,1.51776,13.53,3.41,1.52,72.04,0.58,8.79,0.00,0.00,VEHICLE_FLOAT
_161,1.51832,13.33,3.34,1.54,72.14,0.56,8.99,0.00,0.00,VEHICLE_FLOAT
_163,1.52211,14.19,3.78,0.91,71.36,0.23,9.14,0.00,0.37,VEHICLE_FLOAT
_165,1.51915,12.73,1.85,1.86,72.69,0.60,10.09,0.00,0.00,CONTAINER
_167,1.52151,11.03,1.71,1.56,73.44,0.58,11.62,0.00,0.00,CONTAINER
_169,1.51666,12.86,0.00,1.83,73.88,0.97,10.17,0.00,0.00,CONTAINER
_171,1.52369,13.44,0.00,1.58,72.22,0.32,12.24,0.00,0.00,CONTAINER
_173,1.51321,13.00,0.00,3.02,70.70,6.21,6.93,0.00,0.00,CONTAINER
_175,1.52058,12.85,1.61,2.17,72.18,0.76,9.70,0.24,0.51,CONTAINER
_177,1.51905,14.00,2.39,1.56,72.37,0.00,9.57,0.00,0.00,TABLEWARE
_179,1.51829,14.46,2.24,1.62,72.38,0.00,9.26,0.00,0.00,TABLEWARE
_181,1.51299,14.40,1.74,1.54,74.55,0.00,7.59,0.00,0.00,TABLEWARE
_183,1.51916,14.15,0.00,2.09,72.74,0.00,10.88,0.00,0.00,TABLEWARE
_185,1.51115,17.38,0.00,0.34,75.41,0.00,6.65,0.00,0.00,TABLEWARE
_187,1.51838,14.32,3.26,2.22,71.25,1.46,5.79,1.63,0.00,HEADLAMP
_189,1.52247,14.86,2.20,2.06,70.26,0.76,9.76,0.00,0.00,HEADLAMP
_192,1.51602,14.85,0.00,2.38,73.28,0.00,8.76,0.64,0.09,HEADLAMP
_194,1.51719,14.75,0.00,2.00,73.02,0.00,8.53,1.59,0.08,HEADLAMP
_196,1.51545,14.14,0.00,2.68,73.39,0.08,9.07,0.61,0.05,HEADLAMP
_198,1.51727,14.70,0.00,2.34,73.28,0.00,8.95,0.66,0.00,HEADLAMP
_200,1.51609,15.01,0.00,2.51,73.05,0.05,8.83,0.53,0.00,HEADLAMP
_202,1.51653,11.95,0.00,1.19,75.18,2.70,8.93,0.00,0.00,HEADLAMP
_204,1.51658,14.80,0.00,1.99,73.11,0.00,8.28,1.71,0.00,HEADLAMP
_206,1.51732,14.95,0.00,1.80,72.99,0.00,8.61,1.55,0.00,HEADLAMP
_208,1.51831,14.39,0.00,1.82,72.86,1.41,6.47,2.88,0.00,HEADLAMP
_210,1.51623,14.14,0.00,2.88,72.61,0.08,9.18,1.06,0.00,HEADLAMP
_212,1.52065,14.36,0.00,2.02,73.42,0.00,8.44,1.64,0.00,HEADLAMP
